,CLM_ADMSN_DT,DESYNPUF_ID
0,200712,20
1,200801,88
2,200802,136
3,200803,156
4,200804,135
5,200805,159
6,200806,156
7,200807,171
8,200808,180
9,200809,157
10,200810,159
11,200811,158
12,200812,153
13,200901,160
14,200902,127
15,200903,150
16,200904,139
17,200905,133
18,200906,146
19,200907,127
20,200908,141
21,200909,126
22,200910,134
23,200911,102
24,200912,128
25,201001,94
26,201002,96
27,201003,109
28,201004,87
29,201005,104
30,201006,90
31,201007,70
32,201008,78
33,201009,40
34,201010,44
35,201011,24
36,201012,17
